Instructor_ID,Instructor_Email
I0000,smsintegration@mockuni.edu.au
I0001,kenny.schultz@mockuni.edu.au
I0002,becky.kilback@mockuni.edu.au
I0003,allen.kautzer@mockuni.edu.au
I0004,thomas.hammes@mockuni.edu.au
I0005,sheri.morissette@mockuni.edu.au
I0006,sylvester.ohara@mockuni.edu.au
I0007,alison.schmeler@mockuni.edu.au
I0008,heidi.rowe@mockuni.edu.au
I0009,peggy.pagac@mockuni.edu.au
I0010,mindy.lowe@mockuni.edu.au
I0011,dan.schamberger@mockuni.edu.au
I0012,nathan.turcotte@mockuni.edu.au
I0013,faith.oconner@mockuni.edu.au
